output_image,background_image,donor_image,donor_key,class_id,class_name,donor_use,polygon_pixels
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0016.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_682_2749fbd527.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_97_81621f31af.jpg,46bb02f339e14aa8f374,14,妇科用药,1,373.43 96.64 450.13 78.19 480.49 204.44 403.78 222.89
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0017.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2402_d2d2135b8e.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_499_7603f2cf3c.jpg,d893195a805124e67c00,6,泻药通便,2,23.68 348.87 291.60 337.01 300.66 541.48 32.74 553.34
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0017.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2402_d2d2135b8e.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_55_f05b91330b.jpg,1cfc1dfe6e5ad7632ba0,12,心血管药,1,277.74 423.93 473.63 421.37 475.21 542.43 279.33 545.00
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0018.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1934_2b5a444b97.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_506_1b8044717d.jpg,58f380ede4a5e74b9148,3,止痛药,1,363.80 474.53 583.02 463.06 590.87 613.14 371.65 624.60
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0018.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1934_2b5a444b97.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2439_1fe74b3500.jpg,0509d91418371ec5709a,3,止痛药,1,389.27 13.50 588.54 128.44 510.09 264.46 310.81 149.52
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0019.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2101_7e21f3bbd0.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_499_7603f2cf3c.jpg,d893195a805124e67c00,6,泻药通便,3,113.67 328.98 378.59 370.65 346.79 572.83 81.87 531.16
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0020.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_592_04ae496b2a.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_214_c340f9c82f.jpg,d7432cde5e77e970114e,14,妇科用药,1,193.46 307.03 365.39 312.67 362.98 385.92 191.06 380.28
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0021.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_409_fd344f54a3.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_97_81621f31af.jpg,d1c83072c62ffd9f651a,14,妇科用药,1,32.30 111.95 93.07 122.34 80.12 198.01 19.36 187.61
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0022.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_287_f1a1c105f5.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_89_69650ba70c.jpg,caea859e00a7feb7caa0,12,心血管药,1,11.83 328.48 228.50 332.00 226.43 459.59 9.76 456.07
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0023.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2750_d59a63522f.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_575_d70110b43b.jpg,696987f9ff9d66840e28,12,心血管药,1,44.04 420.80 316.74 411.88 321.84 567.89 49.15 576.81
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0023.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2750_d59a63522f.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_271_e7a850fba2.jpg,24fc039c4ea5ba967179,14,妇科用药,1,295.14 449.42 564.97 399.51 598.56 581.10 328.74 631.02
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0024.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_156_c250492df5.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_308_9171c0b32b.jpg,060e0be9fdfeba2db644,16,保健品,1,425.13 382.42 467.28 385.98 461.06 459.61 418.91 456.05
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0025.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1273_a75be746fe.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_535_2efc805078.jpg,e03a85cb64494fbfce76,8,抗过敏药,1,125.89 462.24 225.65 374.29 350.05 515.39 250.30 603.34
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0025.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1273_a75be746fe.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3207_b2a6fd2ed2.jpg,8c19c70a91bfa3a8a829,8,抗过敏药,2,18.76 308.99 106.69 293.56 146.02 517.74 58.09 533.17
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0026.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_291_ba9ae402ff.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_218_a1a2008978.jpg,7ce94b404163d8507f15,8,抗过敏药,1,64.00 280.15 228.82 281.91 228.00 358.63 63.18 356.87
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0026.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_291_ba9ae402ff.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_235_e99a722b27.jpg,3477807e0e777a7d2e49,14,妇科用药,1,106.41 12.19 269.33 37.91 258.31 107.68 95.39 81.97
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0027.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3266_1e45270e5f.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_12_34de2f911c.jpg,504c69b7b892cf624509,6,泻药通便,1,64.00 294.33 284.46 336.94 232.54 605.52 12.09 562.91
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0027.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3266_1e45270e5f.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_308_9171c0b32b.jpg,060e0be9fdfeba2db644,16,保健品,2,58.82 170.30 107.93 163.55 119.71 249.33 70.60 256.07
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0028.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1443_f0fec11168.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_332_b595285cc9.jpg,2d7863f1fdb1fd4157a4,8,抗过敏药,1,45.22 120.41 313.45 112.04 318.25 266.02 50.03 274.39
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0028.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1443_f0fec11168.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_499_7603f2cf3c.jpg,d893195a805124e67c00,6,泻药通便,4,286.90 39.99 554.82 51.85 545.77 256.32 277.85 244.46
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0029.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2141_7635b90657.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2255_e845950c18.jpg,be61bbf43d32bd510c90,12,心血管药,1,343.63 145.18 608.75 114.10 626.29 263.75 361.16 294.82
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0029.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2141_7635b90657.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_12_34de2f911c.jpg,504c69b7b892cf624509,6,泻药通便,2,85.22 41.17 308.25 15.15 339.95 286.86 116.92 312.88
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0030.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3032_f291442396.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1319_37f4408a65.jpg,3be0ae30bfcd7e053e82,3,止痛药,1,87.57 72.56 344.24 39.10 368.62 226.18 111.95 259.63
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0030.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3032_f291442396.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_570_4fd4b3e630.jpg,df3a057f6676e9e05295,14,妇科用药,1,354.00 42.96 568.42 8.86 589.92 144.06 375.50 178.16
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0031.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1210_32ece3d6c5.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_235_e99a722b27.jpg,3477807e0e777a7d2e49,14,妇科用药,2,263.13 487.62 540.13 508.49 531.19 627.12 254.19 606.26
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0032.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3106_1feb420eb5.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_271_e7a850fba2.jpg,24fc039c4ea5ba967179,14,妇科用药,2,332.98 49.63 604.71 11.37 630.46 194.24 358.73 232.50
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0033.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3170_c1af1d03ed.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_262_462550fa86.jpg,74d7eb98fbd3ceec5e76,12,心血管药,2,23.83 38.41 299.63 21.90 307.94 160.73 32.14 177.24
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0033.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3170_c1af1d03ed.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_563_881acfd8fe.jpg,c6cb62b0319689343571,3,止痛药,1,337.41 49.52 610.67 75.45 593.85 252.78 320.59 226.86
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0034.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3194_5be5d2774b.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_166_a3f456bc1f.jpg,f784d57e6178631909c7,3,止痛药,1,330.57 41.07 598.85 97.70 561.19 276.12 292.91 219.50
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0034.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3194_5be5d2774b.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_12_34de2f911c.jpg,504c69b7b892cf624509,6,泻药通便,3,31.75 65.10 256.16 57.63 265.27 331.03 40.85 338.50
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0035.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1746_a8d40761f0.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_329_6b0e4238cd.jpg,a205a51a1a87a9ce4233,16,保健品,1,111.61 32.60 264.02 56.63 247.80 159.56 95.38 135.53
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0035.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1746_a8d40761f0.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3176_c63b015f34.jpg,6bcc76c9024303c68a04,8,抗过敏药,1,72.67 289.84 201.86 290.78 199.97 550.38 70.77 549.44
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0036.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1891_6206cd18e3.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_251_7020614fc2.jpg,e7f21a56b65e38e93ba7,16,保健品,1,12.82 92.08 177.45 83.55 191.80 360.31 27.17 368.85
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0037.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2908_9b19923d58.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_12_34de2f911c.jpg,504c69b7b892cf624509,6,泻药通便,4,395.34 332.08 619.56 343.91 605.14 617.08 380.92 605.25
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0037.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2908_9b19923d58.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_591_6d3a6379ba.jpg,5a989d72d6e03eb75902,16,保健品,1,12.08 336.14 194.75 327.00 208.28 597.34 25.61 606.48
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0038.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3096_6b60e93692.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_248_847dd1a07f.jpg,452864e3f81843af66bb,12,心血管药,1,183.69 71.11 459.06 70.36 459.54 245.20 184.16 245.95
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0038.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3096_6b60e93692.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_66_e38affbd9d.jpg,5797563312241527c4fa,3,止痛药,1,243.10 455.79 520.47 448.98 524.70 621.26 247.33 628.07
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0039.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3126_0a55948152.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_308_9171c0b32b.jpg,060e0be9fdfeba2db644,16,保健品,3,195.64 466.16 244.84 461.19 253.52 547.13 204.32 552.10
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0039.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3126_0a55948152.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2383_09c669872d.jpg,da84e8c5d2f3d1a74ec3,3,止痛药,1,185.41 506.00 459.30 499.42 462.21 620.58 188.32 627.16
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0040.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2504_326de2fb14.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_444_0e9ccebe83.jpg,330f66f3d7861cf9e98d,16,保健品,1,12.29 31.64 247.90 18.99 262.59 292.62 26.98 305.27
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0040.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2504_326de2fb14.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3192_2d28368a9c.jpg,d0f8f3672f0047b5b41d,8,抗过敏药,1,487.40 108.76 598.59 103.35 609.71 332.06 498.53 337.47
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0041.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_197_c4f67c1304.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_551_28de7a7266.jpg,900e3239e1250e2e8e75,3,止痛药,1,180.08 928.67 528.69 886.20 542.32 998.10 193.71 1040.57
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0041.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_197_c4f67c1304.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3208_74ac612100.jpg,0571211ba49615b7921f,8,抗过敏药,1,594.15 656.55 789.54 692.19 731.80 1008.75 536.41 973.11
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0042.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_999_b46165ac70.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2388_963ce2eb78.jpg,5acba4ced862cdcc7da0,3,止痛药,2,229.83 500.28 446.93 387.35 508.44 505.59 291.34 618.52
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0042.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_999_b46165ac70.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_43_84b60c45b3.jpg,77a8223fcb4f4d91db5e,3,止痛药,1,44.51 22.54 297.57 59.07 274.84 216.55 21.79 180.02
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0043.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_685_b6f2dd12e8.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_447_ff72e28c52.jpg,f206d5ac5acba6aa885c,3,止痛药,1,308.58 28.18 387.13 33.38 372.91 248.21 294.36 243.01
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0043.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_685_b6f2dd12e8.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_364_a21b8584be.jpg,fc269766221f9c46ad7d,16,保健品,1,30.01 363.21 209.63 375.48 202.03 486.63 22.42 474.36
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0044.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1747_cd687450d8.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3176_c63b015f34.jpg,6bcc76c9024303c68a04,8,抗过敏药,2,449.77 41.50 578.70 49.77 562.09 308.84 433.16 300.57
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0044.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1747_cd687450d8.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_97_81621f31af.jpg,d1c83072c62ffd9f651a,14,妇科用药,2,161.79 42.20 230.23 37.12 236.57 122.35 168.12 127.43
